title,source,url,published_at
A voice breaking from the Fed ranks just heightened her push for cutting interest rates fast,MarketWatch,https://www.marketwatch.com/story/a-voice-breaking-from-the-fed-ranks-just-heightened-her-push-for-cutting-interest-rates-fast-4bd935a9,1754764260
"In a pivotal week for tariffs, how Apple shined and drove the Nasdaq to new highs",CNBC,https://www.cnbc.com/2025/08/09/in-a-pivotal-week-for-tariffs-how-apple-shined-and-drove-the-nasdaq-to-new-highs.html,1754755799
Trump to speak at White House on violent crime in D.C. amid federal crackdown,CNBC,https://www.cnbc.com/2025/08/09/trump-to-speak-at-white-house-on-violent-crime-in-dc.html,1754754859
How much money you need to be considered wealthy across the U.S.—it's over $2 million in most places,CNBC,https://www.cnbc.com/2025/08/09/how-much-money-you-need-to-be-considered-wealthy-across-the-us.html,1754744401
Amazon documentary exposes ‘neglect and pain’ in many nursing homes. It’s only going to get worse.,MarketWatch,https://www.marketwatch.com/story/amazon-documentary-exposes-neglect-and-pain-in-many-nursing-homes-its-only-going-to-get-worse-6531f5f3,1754744400
"‘Things are getting tougher’: I’m struggling with $145,000 in debt. Should I refinance my 3.5% mortgage?",MarketWatch,https://www.marketwatch.com/story/things-are-getting-tougher-im-struggling-with-145-000-in-debt-should-i-refinance-my-3-5-mortgage-6a7962c9,1754742660
Trump wants private assets in 401(k)s. How do everyday investors value them?,MarketWatch,https://www.marketwatch.com/story/trump-wants-private-assets-in-401-k-s-how-do-everyday-investors-value-them-d30e3e6f,1754742600
Thieves are targeting sports collectibles in high-profile heists — stealing LeBron James jerseys and Mickey Mantle cards worth millions,MarketWatch,https://www.marketwatch.com/story/thieves-are-targeting-sports-collectibles-in-high-profile-heists-stealing-lebron-james-jerseys-and-mickey-mantle-cards-worth-millions-6d63e3bc,1754740800
Gold and bitcoin are both vying to be safe havens for investors. Why gold is winning so far this year.,MarketWatch,https://www.marketwatch.com/story/gold-and-bitcoin-are-both-vying-to-be-safe-havens-for-investors-why-gold-is-winning-so-far-this-year-42e5fc9e,1754686260
Trump nominee Miran could have a surprising effect on the Fed: Giving officials more freedom to dissent,MarketWatch,https://www.marketwatch.com/story/trump-nominee-miran-could-have-a-surprising-effect-on-the-fed-giving-officials-more-freedom-to-dissent-eccbb5fe,1754685240
The truth about ‘no tax on tips’ is not every service worker will get it. Here’s what we know about who could make the list.,MarketWatch,https://www.marketwatch.com/story/the-truth-about-no-tax-on-tips-is-not-every-service-worker-will-get-it-heres-what-we-know-about-who-could-make-the-list-a8f905a3,1754679480
Tesla Robotaxi scores permit to run ride-hailing service in Texas,CNBC,https://www.cnbc.com/2025/08/08/tesla-robotaxi-scores-permit-to-run-ride-hailing-service-in-texas.html,1754679233
JPMorgan says it now sees four Fed rate cuts on the horizon as Trump nominates Miran to Fed,MarketWatch,https://www.marketwatch.com/story/jpmorgan-says-it-now-sees-four-fed-rate-cuts-on-the-horizon-as-trump-nominates-miran-to-fed-9c4fa8a8,1754678100
Medicare will test using AI to help decide whether patients receive coverage,MarketWatch,https://www.marketwatch.com/story/medicare-will-test-using-ai-to-help-decide-whether-patients-receive-coverage-37a47251,1754677440
"Apple's reversal of fortune continues, and a historic stock offering may be in the works",CNBC,https://www.cnbc.com/2025/08/08/apples-reversal-of-fortune-continues-and-a-historic-stock-offering-may-be-in-the-works.html,1754676070
"Investors are now less concerned about tariffs than the economy, says BofA survey. Why that could be a mistake.",MarketWatch,https://www.marketwatch.com/story/investors-are-now-less-concerned-about-tariffs-than-the-economy-says-bofa-survey-why-that-could-be-a-mistake-8798a2ac,1754674740
Trump’s clash with Intel’s CEO isn’t just politics — it’s a crucial test for U.S. chip making,MarketWatch,https://www.marketwatch.com/story/trumps-clash-with-intels-ceo-isnt-just-politics-its-a-crucial-test-for-u-s-chip-making-586629fa,1754674140
Why a proposal to ‘save’ Social Security by investing $1.5 trillion in the stock market won’t work,MarketWatch,https://www.marketwatch.com/story/why-a-proposal-to-save-social-security-by-investing-1-5-trillion-in-the-stock-market-wont-work-14e137c5,1754673120
Is Apple making the same mistakes as Blackberry? Here’s how it can change course.,MarketWatch,https://www.marketwatch.com/story/is-apple-making-the-same-mistakes-as-blackberry-heres-how-it-can-change-course-062cc4a5,1754672700
"Are you getting a $600 tariff rebate check? What to know as Trump, senator float the idea.",MarketWatch,https://www.marketwatch.com/story/are-you-getting-a-600-tariff-rebate-check-what-to-know-as-trump-senator-float-the-idea-15235df2,1754672040
Sweetgreen’s customers are cutting back on pricey salads. Will extra chicken help?,MarketWatch,https://www.marketwatch.com/story/sweetgreens-customers-are-cutting-back-on-pricey-salads-will-extra-chicken-help-ccd79c31,1754668860
Intel CEO responds to 'misinformation' and Trump threat in letter to employees,CNBC,https://www.cnbc.com/2025/08/08/intel-ceo-responds-to-misinformation-and-trump-threat-in-letter.html,1754668667
"Bed Bath & Beyond relaunches with first store in Nashville, plans dozens more",CNBC,https://www.cnbc.com/2025/08/08/bed-bath-beyond-store-nashville.html,1754668257
We're buying the post-earnings dip in a restaurant stock controlling what it can,CNBC,https://www.cnbc.com/2025/08/08/were-buying-the-post-earnings-dip-in-a-restaurant-stock-controlling-what-it-can.html,1754667381
Wall Street analysts rush to Eli Lilly's defense but investors aren't listening yet,CNBC,https://www.cnbc.com/2025/08/08/wall-street-analysts-rush-to-eli-lillys-defense-but-investors-arent-listening-yet.html,1754666614
"Trump warns courts against knocking down tariffs, says duties are 'huge positive' for stock market",CNBC,https://www.cnbc.com/2025/08/08/trump-warns-courts-against-knocking-down-tariffs-says-duties-are-huge-positive-for-stock-market.html,1754665824
